site_slug,date,day_active,slot_count
bristol-clifton,Wednesday 23 September 2026,True,0
bristol-clifton,Thursday 24 September 2026,True,0
bristol-clifton,Friday 25 September 2026,True,0
bristol-clifton,Saturday 26 September 2026,True,0
bristol-clifton,Sunday 27 September 2026,True,0
bristol-clifton,Monday 28 September 2026,True,0
bristol-clifton,Tuesday 29 September 2026,True,0
bristol-clifton,Wednesday 30 September 2026,True,0
bristol-clifton,Thursday 1 October 2026,True,2
bristol-clifton,Friday 2 October 2026,True,0
bristol-clifton,Saturday 3 October 2026,True,0
bristol-clifton,Sunday 4 October 2026,True,0
bristol-clifton,Monday 5 October 2026,True,1
bristol-clifton,Tuesday 6 October 2026,True,4
bristol-clifton,Wednesday 7 October 2026,False,0
bristol-clifton,Thursday 8 October 2026,False,0
bristol-clifton,Friday 9 October 2026,False,0
bristol-clifton,Saturday 10 October 2026,False,0
bristol-clifton,Sunday 11 October 2026,False,0
bristol,Monday 21 September 2026,False,0
bristol,Tuesday 22 September 2026,False,0
bristol,Wednesday 23 September 2026,True,0
bristol,Thursday 24 September 2026,True,0
bristol,Friday 25 September 2026,True,0
bristol,Saturday 26 September 2026,True,0
bristol,Sunday 27 September 2026,True,0
bristol,Monday 28 September 2026,True,0
bristol,Tuesday 29 September 2026,True,0
bristol,Wednesday 30 September 2026,True,0
bristol,Thursday 1 October 2026,True,0
bristol,Friday 2 October 2026,True,0
bristol,Saturday 3 October 2026,True,0
bristol,Sunday 4 October 2026,True,0
bristol,Monday 5 October 2026,True,0
bristol,Tuesday 6 October 2026,True,0
bristol,Wednesday 7 October 2026,False,0
bristol,Thursday 8 October 2026,False,0
bristol,Friday 9 October 2026,False,0
bristol,Saturday 10 October 2026,False,0
bristol,Sunday 11 October 2026,False,0
bromley,Monday 21 September 2026,False,0
bromley,Tuesday 22 September 2026,False,0
bromley,Wednesday 23 September 2026,True,0
bromley,Thursday 24 September 2026,True,1
bromley,Friday 25 September 2026,True,0
bromley,Saturday 26 September 2026,True,0
bromley,Sunday 27 September 2026,True,0
bromley,Monday 28 September 2026,True,2
bromley,Tuesday 29 September 2026,True,4
bromley,Wednesday 30 September 2026,True,7
bromley,Thursday 1 October 2026,True,6
bromley,Friday 2 October 2026,True,0
bromley,Saturday 3 October 2026,True,0
bromley,Sunday 4 October 2026,True,0
bromley,Monday 5 October 2026,True,6
bromley,Tuesday 6 October 2026,True,1
bromley,Wednesday 7 October 2026,False,0
bromley,Thursday 8 October 2026,False,0
bromley,Friday 9 October 2026,False,0
bromley,Saturday 10 October 2026,False,0
bromley,Sunday 11 October 2026,False,0
cannock,Monday 21 September 2026,False,0
cannock,Tuesday 22 September 2026,False,0
cannock,Wednesday 23 September 2026,True,0
cannock,Thursday 24 September 2026,True,0
cannock,Friday 25 September 2026,True,0
cannock,Saturday 26 September 2026,True,0
cannock,Sunday 27 September 2026,True,0
cannock,Monday 28 September 2026,True,0
cannock,Tuesday 29 September 2026,True,0
cannock,Wednesday 30 September 2026,True,0
cannock,Thursday 1 October 2026,True,0
cannock,Friday 2 October 2026,True,0
cannock,Saturday 3 October 2026,True,0
cannock,Sunday 4 October 2026,True,0
cannock,Monday 5 October 2026,True,0
cannock,Tuesday 6 October 2026,True,0
cannock,Wednesday 7 October 2026,False,0
cannock,Thursday 8 October 2026,False,0
